Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001812,"Harbeson, Kristen ",Maryland League of Conservation Voters,Maryland League of Conservation Voters,04/10/26,180.0,General Assembly,Maryland League of Conservation Voters
E001757,"Harting, Marta ",Venable LLP,Diageo,03/15/26,1224.25,Baltimore County Delegation,Diageo
E001636,"Harvey, Tiffany L",Cornerstone Government Affairs,Maryland-Delaware-DC Beverage Association,03/18/26,3960.03,General Assembly,Maryland-Delaware-DC Beverage Association
E001635,"Harvey, Tiffany L",Cornerstone Government Affairs,Maryland-Delaware-DC Beverage Association,02/25/26,4974.18,House Ways and Means Committee; Senate Budget and Taxation Committee,Maryland-Delaware-DC Beverage Association
E001551,"Harvey, Tiffany L",Cornerstone Government Affairs,TechNet,01/15/26,5261.47,House Economic Matters Committee; Senate Finance Committee,TechNet
E001537,"Hough, Tyler Michael",Maryland Farm Bureau,Maryland Farm Bureau,12/08/25,30800.0,"House Environment and Transportation Committee; Lower Eastern Shore Delegation; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee); Upper Eastern Shore Delegation",Maryland Farm Bureau; 
E001622,"Jacobson, Jonas ",PerryJacobson,Concentra,02/03/26,3721.72,Senate Finance Committee,Concentra
E001621,"Jacobson, Jonas ",PerryJacobson,Concentra,01/28/26,3924.36,House Economic Matters Committee,Concentra
E001784,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,03/25/26,6551.42,General Assembly,"Rifkin Weiner Livingston LLC; Allegany County Gov; Alterwood Health; Ashley Inc.; Baltimore Streetcar Museum; Baltimore Symphony Orchestra; Behavioral Framework; Brewers Association of Maryland; Cable Telecomm of MD, DE & DC; Celebree School; Chesapeake Bay Outward Bound School; Chesapeake Shakespeare Company; Children's National Health System; Chimes Inter'l; Concerto Renal Services; Curio Wellness; Education Affiliates/Fortis College; Enterprise; Envirotest Systems; FedEx Corporation; Friends of Patapsco Valley State Park; H&H Rock Companies; Helping Up Mission; Hims & Hers Health Inc.; Horizon Land Company; Humanim, Inc.; Instacart; Land Preservation Trust ; Maryland Automobile Dealers Assoc; Maryland Distillers Guild; Maryland Physicians Care MCO; Maryland Realtors; Maryland Wineries Association; Mount Vernon Place Conservancy; MTX Group; Nareit  ; Premium Cigar Retailers Assoc of MD; Service Coordination Inc.; Sheppard Pratt Health System; Skyline Technology Solutions; Solar Landscape ; Spotless Brands; Story of Maryland; Technology Advancement Center; UPMC Western Maryland; Washington Area New Auto Dealers ; Waste Management of Maryland; Waymo LLC"
E001578,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/25/26,7965.67,Carroll County Delegation; Howard County Delegation; Montgomery County Delegation; Southern Maryland Delegation; Western Maryland Delegation,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Alterwood Health; ASC Engineered Solutions; Behavioral Framework; Berkshire Hathaway Energy GT&S; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE & DC; Carahsoft; Catalis; CBAC Gaming; Celebree School; Children's National Health System; Chimes ; Concerto Renal Services; Corebridge Financial; Curio Wellness; Empower; Enterprise Holdings; Envirotest ; FedEx; Food & Friends Inc.; Hims & Hers Health Inc.; Horizon Land; Instacart; Maryland Auto Dealers Association; Maryland Physicians Care; Maryland Realtors; Maryland Wineries Assoc.; NaphCare; Nareit; Pharmaceutical Care Mgmt (PCMA); Premium Cigar Retailers Assoc of MD; SCI; Service Coordination Inc.; Sheppard Pratt Health System; Solar Landscape; Story of Maryland; UPMC Western Maryland; Washington Area New Auto Dealers Assoc"
E001577,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/19/26,8828.4,Anne Arundel County Delegation; Baltimore City Delegation; Baltimore County Delegation; Harford County Delegation; Lower Eastern Shore Delegation; Upper Eastern Shore Delegation,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; ASC Engineered Solutions; Ashley Inc.; Babe Ruth Birthplace and Museum; Baltimore Streetcar Museum; Baltimore Symphony Orchestra; Behavioral Framework; Berkshire Hathaway Energy; Better You, Better Me, LLC; Brewers Association of Maryland; Brown Advisory; Cable Telecomm of MD, DE & DC; Cal Ripken Sr. Foundation; CBAC Gaming; Celebree School; Chesapeake Bay Outward Bound School; Chesapeake Shakespeare Company; Chimes; Curio Wellness; Enterprise Holdings; Envirotest ; Food & Friends Inc.; Helping Up Mission; Horizon Land; Land Preservation Trust; Maryland Auto Dealers Assoc.; Maryland Physicians Care MCO; Maryland Realtors; Maryland Wineries Association; Mount Vernon Place Conservancy; Nareit; Service Coordination Inc.; Sheppard Pratt Health System; Solar Landscape; Unrivaled Sports; Washington Area New Auto Dealers Assoc."
E001600,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/18/26,7277.15,House Judiciary Committee; House Health Committee,"Rifkin Weiner Livingston LLC; Alterwood Health; Ashley Inc.; Behavioral Framework; Better You Better Me; Cable Telecommunications of MD, DE, DC; Carahsoft; Catalist; Celebree School; Children's National Health System; Chimes ; Colonial Pipeline; Concerto Renal Services; DentaQuest; Empower; Envirotest Systems; Food & Friends; Google; Helping Up Mission; Hims & Hers Inc.; Humanim; Maryland Physicians Care ; Maximus; Meta; NaphCare; Pharmaceutical Care Mgmt (PCMA); Premium Cigar Retailers Assoc. of MD; SCI; Service Coordination Inc.; Sheppard Pratt ; Skyline Technologies; TVI Savers Inc.; UPMC Western Maryland"
E001611,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Brewers Association of Maryland,02/17/26,9025.0,General Assembly,Brewers Association of Maryland; Maryland Distillers Guild; Maryland Wineries Association
E001638,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/17/26,14589.86,House Appropriations Committee; House Ways and Means Committee,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Alterwood Health; ASC Engineered Solutions; Ashley Addiction Treatment; Baltimore Streetcar Museum; Baltimore Symphony Orchestra; Behavioral Framework; Berkshire Hathaway ; Better You Better Me; Brewers Association of Maryland; Brown Advisory; Cable Telecomm Assoc. MD, DE, DC; Cal Ripken, Sr. Foundation; Canton Group, The; Carahsoft Technology; Catalis; CBAC Gaming; Celebree School; Chesapeake Bay Outward Bound School; Chesapeake Shakespeare Company; Children’s National Health System; Chimes ; Concerto Renal Services; Curio Wellnes; Education Affiliates/Fortis College; Empower; Enterprise ; Envirotest; Food & Friends; Friends of Patapsco Valley State Park; Helping Up Mission; Horizon Land Company; Humanim; JMI Equity; Land Preservation Trust; Maryland Automobile Dealers Assoc.; Maryland Physicians Care; Maryland Realtors; Maximus; Mount Vernon Place Conservancy; NaphCare Inc.; Nareit; PGA of America; Premium Cigar Retailers Association of MD; Scientific Games LLC; Service Coordination Inc.; Sheppard Pratt Health Systems; Skyline Technologies Solutions; Solar Landscape; Story of Maryland ; Unrivaled Sports; UPMC Western Maryland ; Washington Area New Car Dealers Assoc."
E001576,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/04/26,7635.2,Prince George 's County Delegation,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Alterwood Health; ASC Engineered Solutions; Baltimore Symphony Orchestra; Berkshire Hathaway Energy ; Cable Telecomm of MD, DE & DC; Cal Ripken, Sr. Foundation; Catalis ; CBAC Gaming; Celebree School; Children's National Health System; Chimes Inter'l; Concerto Renal Services; Curio Wellness; Education Affiliates/Fortis College; Enterprise; Envirotest Systems; Food & Friends Inc.; Humanim, Inc.; Maryland Automobile Dealers Association; Maryland Physicians Care ; Maryland Realtors; Nareit  ; Pharmaceutical Care Mgmt (PCMA); Premium Cigar Retailers Assoc of MD; Service Coordination Inc.; Sheppard Pratt Health System; TVI, Inc. (Savers); Washington Area New Auto Dealers "
E001599,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/03/26,15856.49,"House Economic Matters Committee; House Environment and Transportation Committee; House Government, Labor, and Elections (formerly House Health and Government Operations Committee)","Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; Alterwood Health; ASC Engineered Solutions; Ashley Addiction Treatment; Behavioral Framework; Berkshire Hathaway; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE & DC; Canton Group; CarahSoft; Celebree School; Chesapeake Bay Outward Bound School; Children's National Health System; Chimes; Colonial Pipeline Company; Corebridge Financial Group; Curio Wellness; Educational Affiliates; Empower; Enterprise; Envirotest; FedEx; Friends of Patapsco Valley State Park; Google LLC; H&R Block; Horizon Land; JMI Equity; Maryland Auto Dealers Association; Maryland Distillers Guild; Maryland Physicians Care; Maryland Realtors; Maryland Tech Council; Maryland Wineries Association; Meta Platforms Inc.; NaphCare, Inc.; Nareit; Pharmaceutical Care Mgmt (PCMA); Premium Cigar Retailers Assoc of MD; SCI Mgmt; Sheppard Pratt Health System; Solar Landscape; Spotless Brands; Story of Maryland; UPMC Western Maryland; Washington Area New Auto Dealers Assoc.; Waste Management; Better You, Better Me"
