Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001427,"Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",03/25/25,12889.38,General Assembly,"Compass Government Relations Partners, LLC; Aetna; Donate Life Maryland; Professional Firefighters of Maryland; HNTB; Bamboo Health; Maryland American Water; Guidehouse; Fitzgerald Auto"
E001267,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,01/28/25,12815.3,Senate Budget and Taxation Committee; Senate Judicial Proceedings Committee,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; ASC Engineering; Ashley Inc.; Baltimore Symphony Orchestra; Berkshire Hathaway Energy GT&S; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE & DC; Canton Group; Catalis; CBAC Gaming; Celebree School; Chesapeake Shakespeare Company; Children's National Health System; Colonial Pipeline; Corebridge Financial; Curio ; DentaQuest; Educational Affiliates; Enterprise; Envirotest; Fair Hill Condominium Assoc; FedEx; Food & Friends; Friends of Patapsco Valley State Park; Gaudenzia; H&R Block; Helping Up Mission; Humanim; JMI Equity; Light & Wonder; Maryland Automobile Dealers Association; Maryland Physicians Care; Maryland Realtors; Maryland Tech Council; Maximus; Medallia Inc.; Mount Vernon Place; MTX Group; NaphCare Inc.; Nariet; PGA America; Pharmaceutical Care Mgmt ; Premium Cigar Retailers Association of MD; Scientific Games; Sheppard Pratt; Skyline Technology; ThinkBig Networks; UPMC Western Maryland; Washington Area New Auto Dealers"
E001269,"Johansen, Michael Vernon",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,02/04/25,12796.79,House Economic Matters Committee; House Environment and Transportation Committee,"Rifkin Weiner Livingston LLC; 1/St Racing MD LLC; Allegany County Gov; ASC Engineering; Ashley Inc.; Baltimore Symphony Orchestra; Berkshire Hathaway Energy GT&S; Brewers Association of Maryland; Brown Advisory; Cable Telecommunications of MD, DE & DC; Canton Group; Catalis; Celebree School; Colonial Pipeline; Corebridge Financial; Curio Wellness; DentaQuest; Enterprise ; Envirotest Systems; Fair Hill Condominium Association; FedEx Corp; Friends of Patapsco Valley State Park; Gaudenzia; H&R Block; Horizon Land; JMI Equity; Maryland Auto Dealers Assoc.; Maryland Distillers Guild; Maryland Realtors; Maryland Tech Council; Maryland Wineries Assoc.; Meta Platforms Inc.; MTX Group; Pepco Holdings; Premium Cigar Retailers Assoc of MD; Real Time Medical Systems; Skyline Technology Solutions; Story of Maryland; Waste Management"
E001280,"Favazza, John F",Manis Canning & Associates,Washington County Community Coalition,01/22/25,12397.48,General Assembly,Washington County Community Coalition; Columbia Gass; Washington County Community Foundation; Attendance Fees
E001253,"Peters, Sarah M.",Husch Blackwell Strategies,Transportation Association of Maryland,01/15/25,11996.95,General Assembly,Transportation Association of Maryland
E001277,"Miles, William R",William Miles,Hunters of Maryland,01/16/25,11723,General Assembly,"Hunters of Maryland; Association of Forest Industries, Inc."
E001397,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fraternal Order of Police c/o Frank D. Boston III, Attorney at Law",03/04/25,11681.9,House Judiciary Committee; Senate Judicial Proceedings Committee,"Maryland State Fraternal Order of Police c/o Frank D. Boston III, Attorney at Law"
E001339,"Jones, Lisa ","Harris Jones & Malone, LLC",Johns Hopkins,01/30/25,11033.4,House Appropriations Committee; Senate Budget and Taxation Committee,Johns Hopkins
E001482,"Leacock, Chris ",The Arc Montgomery County,"Arc Montgomery County, The",06/07/25,11017.24,Montgomery County Delegation,"Arc Montgomery County, The; HUB International Limited; ALCO Pharmacy;  Gorfine, Schiller & Gardyn, P.A;  R3;  Arc Mo Co Board of Directors; AR Bancroft LTD; TWINSIS, LLC; Terrence Judge / Boyer / Williams Gift Fund; NAV Management;  CETA Benefit Consulting Group, LLC; Nauticon Digital Office Products;  Sandy Spring Bank;  AMR Commercial, LLC;  Office Pro, Inc.;  Daria Cervantes"
E001411,"Perry, Tim ",PerryJacobson,Sports Betting Alliance,03/04/25,10914.6,House Ways and Means Committee; Senate Budget and Taxation Committee,Sports Betting Alliance
E001464,"Murray, Rory ",Providence Strategies,Providence Strategies,04/07/25,10823.37,General Assembly,Providence Strategies
E001311,"Kraska, Jenny ",Maryland Catholic Conference,Maryland Catholic Conference,01/28/25,10770.45,General Assembly,Maryland Catholic Conference
E001478,"Simpson, Maurice , Jr.","Constellation Energy Generation, LLC","Constellation Energy Generation, LLC",05/22/25,10386.79,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)","Constellation Energy Generation, LLC"
E001333,"Kress, William Allen",Kress Hammen Government Affairs,Maryland Nurses Association,02/17/25,9958.8,General Assembly,Maryland Nurses Association
E001459,"Walsh, Michael ",Capitol Strategies,Capitol Strategies LLC,04/07/25,9877,General Assembly,Capitol Strategies LLC
E001346,"Shattuck, Daniel ",Brocato & Shattuck,Maryland Continuing Care Residents Association,02/25/25,9723.28,General Assembly,Maryland Continuing Care Residents Association
E001256,"Perry, Tim ",PerryJacobson,Washington Gas,01/16/25,9716.15,"House Economic Matters Committee; Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Washington Gas
E001255,"Perry, Tim ",PerryJacobson,Perry White Ross & Jacobson,01/08/25,9700,General Assembly,Perry White Ross & Jacobson
